name,taxonomy/kingdom,taxonomy/phylum,taxonomy/class,taxonomy/order,taxonomy/family,taxonomy/genus,taxonomy/scientific_name,locations/0,characteristics/prey,characteristics/name_of_young,characteristics/group_behavior,characteristics/estimated_population_size,characteristics/biggest_threat,characteristics/most_distinctive_feature,characteristics/other_name(s),characteristics/gestation_period,characteristics/habitat,characteristics/diet,characteristics/average_litter_size,characteristics/lifestyle,characteristics/common_name,characteristics/number_of_species,characteristics/location,characteristics/slogan,characteristics/group,characteristics/color,characteristics/skin_type,characteristics/top_speed,characteristics/lifespan,characteristics/weight,characteristics/length,characteristics/age_of_sexual_maturity,characteristics/age_of_weaning,characteristics/litter_size,characteristics/predators,characteristics/type,characteristics/height,characteristics/distinctive_feature,characteristics/temperament,characteristics/training,locations/1,locations/2,locations/3,characteristics/wingspan,characteristics/incubation_period,characteristics/age_of_fledgling,characteristics/average_clutch_size,characteristics/venomous,characteristics/aggression,characteristics/main_prey,characteristics/water_type,characteristics/age_of_independence,characteristics/average_spawn_size,characteristics/nesting_location,characteristics/age_of_molting,characteristics/favorite_food,characteristics/origin,locations/4,characteristics/migratory,characteristics/optimum_ph_level,locations/5,locations/6,locations/7,characteristics/special_features,locations/8,locations/9
Marabou Stork,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Leptoptilos,Leptoptilos crumenifer,Africa,"Smaller birds, small reptiles and small mammals, insects",,,"At least 10,000",Disease,Its ugliness,"Undertaker bird, Maraboe, nightmare bird",,"Deserts, savannas and wet areas, towns and cities",Omnivore,,,Marabou stork,,Sub-Saharan Africa,,,RedBlackWhite,Feathers,,"25 years in the wild, 41 in captivity",20 pounds,,,,1,Humans and large carnivores,Bird,60 inches,,,,,,,12 feet,30 days,,,,,,,,,"Cliffs, treetops, buildings",12 to 15 weeks,,,,1,,,,,,,
Marble Fox,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes,North-America,"Rodents, birds, reptiles, insects, and more",Kits,Solitary,Unknown,Fur industry,The marble-colored coat,Canadian marble fox or Arctic marble fox,Up to 2 months,Human captivity,Omnivore,,,Marble fox,1,Worldwide,,,BrownBlackWhite,Fur,30 mph,Up to 15 years,1-10kg (3-21lbs),"Up to 63cm (25in) in body length, not including the tail",10 months,50-70 days,1-13 kits,None in captivity,Mammal,Up to 69cm (27in),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine Iguana,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Amblyrhynchus,Amblyrhynchus cristatus,South-America,,Juveniles,Solitary,"2,50,000",Man,"Long spines on head, back and tail","Saltwater lizards, Galapagos lizard, Christmas lizard",Eggs hatch in 89 to 120 days,Rocky shoreline on Galápagos Islands,Herbivore,,,,1,Galapagos Islands,,,Black,Tough,24 mph,60 years,1kg-75kg (2.2lbs-165lbs),20cm-38cm(8in-19in),3-8 years,,1-6 eggs,"Galapagos hawks, snakes, rodents, cats and dogs when young",Reptile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine Toad,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,Bufo Marinus,Central-America,,,,,,,,,Forests and fields close to water,Carnivore,,Solitary,,,,Produces a toxin used in arrow darts!,,BrownGreyBlackTanGreen,Permeable,5 mph,10 - 15 years,200g - 800g (7oz - 28oz),10cm - 15cm (4in - 6in),,,,"Dogs, Snakes, Birds",Amphibian,,Large body size and rough skin,,,Oceania,South-America,,,,,15000,,,Insects and Small Animals,,,,,,Insects,,,,,,,,,,
Markhor,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra falconeri,Asia,,,,,,,,,Sparsely wooded cliff-sides,Herbivore,1,Herd,,,,"Less than 2,500 left in the wild!",,BrownGreyBlackWhiteTan,Hair,10 mph,10 - 13 years,32kg - 110kg (71lbs - 240lbs),132cm - 186cm (52in - 73in),,,,,Mammal,,"Long winter hair and large, spiralled horns",,,,,,,,,,,,"Grasses, Leaves, Herbs",,,,,,Grasses,,,,,,,,,,
Marmoset,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Callithrix,Callihrix jacchus,Central-America,"Frogs, snails, lizards, spiders, insects.",baby,TroopGroup,"2,500",Deforestation and trafficking.,Small long-tailed body with non-opposable thumbs,"Common marmoset, zaris, sagoin.",4-5 months,"Tropical forests, rainforest.",Omnivore,,,Marmoset,22,South America,,,BrownBlackOrangeSilver,Fur,24 mph,"12-16 years, though may live longer than 20 years in captivity",3.5 – 13 ounces,"16-26 inches, with tail",477 days for females; 382 days for males.,6 months,one to four,"Raptors, snakes, owls, wild cats, other mammals, other birds.",mammal,7+ inches,,,,South-America,,,,,,,,,,,,,,,,,,,,,,,,,
Marmot,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Marmota,,Asia,,Pup,SolitarySocial,Unknow,Poaching,Yellow fur on its belly,"Ground hog, ground squirrel, rock chuck, whistle pig",30 days,"Meadows, steppes, forest edges",Herbivore,,,Ground squirrel,15,"Asia, North America, Europe",,,BrownYellowWhite,Hair,3 mph,13 – 15 years,3.5lbs-24lbs,18.5in - 27.5 in,2 years,7 weeks,03-Aug,"Coyotes, badgers, black bears, eagles",Mammal,,,,,Eurasia,Europe,North-America,,,,,,,,,,,,,"Seeds, nuts, flowers",,,,,,,,,,
Marsh Frog,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax ridibundus,Asia,,,,,,,,,"Ponds, lakes and rivers",Carnivore,,Solitary,,,,Has bright green skin!,,BrownYellowBlackWhiteGreen,Permeable,5 mph,5 - 10 years,12g - 15g (0.4oz - 0.5oz),12cm - 17cm (4.7in - 7in),,,,"Fish, Toads, Birds",Amphibian,,Large head and long hind legs,,,Eurasia,Europe,,,,,1000,,,"Insects, Moths, Spiders",,,,,,Insects,,,,,,,,,,
Masked Palm Civet,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Paguma,Paguma larvata,Asia,,,,,,,,,Tropical rainforest,Carnivore,2,Solitary,,,,"Found throughout Asia, India and China!",,BrownGreyYellowBlackWhiteTan,Fur,,15 - 20 years,1.4kg - 4.5kg (3lbs - 10lbs),,,,,"Lions, Snakes, Leopards",Mammal,43cm - 71cm (17in - 28in),"Elongated body and snout with sharp, pointed teeth",,,,,,,,,,,,"Rodents, Snakes, Frogs",,,,,,Rodents,,,,,,,,,,
Massasauga,Animalia,Chordata,Reptilia,Squamata,Viperidae,Sistrurus,Sistrurus catenatus,Central-America,"Small mammals, lizards, other snakes, centipedes",,Solitary,,,,,,"Prairie, marsh, and lake areas",Carnivore,,,Massasauga Rattlesnake,,North America,,,BrownGreyBlackTan,Scales,,8-14 years,,24-30 inches,,,8-20 live young,,,,,,,North-America,,,,,,,,,,,,,,,,,,,,,,,,,
Mastador,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,,,,,,,,BrownYellowBlackBrindle,Hair,,12-15 years,160 lbs,,,,,,,,,"Friendly, active, and intelligent",,,,,,,,,,,,,,,,,,,,,,,,,,,
Mastiff,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,,,Mastiff,,,"Courageous, calm and affectionate!",Mastiff,,Hair,,12 years,86kg (190lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayfly,Animalia,Arthropoda,Insecta,Ephemeroptera,,,Ephemeroptera,Africa,,,,,,,,,Forest and woodland close to water,Omnivore,"1,000",,Mayfly,2500,Worldwide,"There are 2,500 known species worldwide!",,BrownGreyYellowBlackTanGreen,Shell,,,,,,,,"Birds, Rodents, Reptiles",,,,,,Asia,Central-America,Eurasia,,,,,,,"Algae, Larvae, Aquatic Plants",,,,,,Algae,,Europe,,,North-America,Oceania,South-America,,,
Meagle,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,,,,,,,,BrownBlackWhiteCreamChocolate,Hair,,10 to 15 years,20 lbs,,,,,,,,,"Active, energetic, and sometimes stubborn",,,,,,,,,,,,,,,,,,,,,,,,,,,
Mealybug,Animalia,Arthropoda,Insecta,Hemiptera,Pseudococcidae,,,Africa,,Nymphs or instars,Colony,,Poisonous plants,"Waxy, mealy appearance",,4-6 days,Plants,Herbivore,,,Mealybugs,,Worldwide,,,YellowWhite,Exoskeleton,,68 days or 7-10 weeks,,2mm (male); 4mm (female),20-44 days depending on species,,100-600 eggs depending on species,,Insect,,,,,Asia,Central-America,Eurasia,,,,,,,,,,,,,,,Europe,,,North-America,Oceania,South-America,,,
Meerkat,Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Suricata,Suricata suricatta,Africa,"Insects, Rodents, Lizards",Kit,Band/Gang,Common,Climate change,Dark bands around eyes and white face,Suricate,11 weeks,Semi-desert and scrub-land,Carnivore,3,Diurnal,Meerkat,3,South-western Africa,One will stand on guard to watch for predators!,Mammal,BrownYellowBlackWhiteTan,Fur,20 mph,10 - 14 years,600g - 975g (1.3lbs - 2.1lbs),,1 year,4 - 6 weeks,,"Hawks, Jackal, Snakes",,25cm - 35cm (10in - 14in),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megalodon,Animalia,Chordata,Chondrichthyes,Lamnifores,Otodontidae,Otodus,Otodus megalodon,,"Baleen whales, toothed whales, sea turtles, sharks",,Solitary,Extinct,,,,,Coastal ocean waters,Carnivore,,Solitary,,,Fossils found in oceans across the world,The largest shark to ever live!,,,Tough,,Unknown,"Conservatively' estimated at 100,000 pounds",Estimated at 50 feet,,,,Livyatan,,,,,,,,,,,,,,,Baleen whales,Salt,,,,,,,,,,,,,,,
Megamouth Shark,Animalia,Chordata,Chondrichthyes,Lamniformes,Megachasmidae,Megachasma,Megachasma pelagios,Ocean,,,Solitary,Unknown,Incidental bycatch,Tremendously large mouth full of teeth,Big mouth shark,Unknown,Oceans,Carnivore,,,Megamouth shark,1,,,,BrownBlackWhite,Rough,1.3 mph,,"1,760lbs",13ft-18ft,,,,,Cetorhinidae,,,,,,,,,,,,,,"Plankton, jellyfish, shrimp, copepods",,,,,,,,,,,,,,,,
Mekong Giant Catfish,Animalia,Chordata,Actinopterygii,Siluriformes,Pangasiidae,Pangasianodon,Pangasianodon gigas,Asia,"Plants, algae, and zooplankton",,Mainly solitary,A few hundred,Damming,Low-set eyes,Pa beuk (in Laos),,Mekong River,Herbivore,,,Mekong Giant Catfish,1,,,,GreyWhite,Skin,,60 years,"Up to 646 lbs, possibly more",Up to 10 ft,,,,Humans,Ray-finned fish,,,,,,,,,,,,,,,Fresh,,,,,,,,,Unknown,,,,,,
Mexican Alligator Lizard,Animalia,Chordata,Reptilia,Squamata,Anguidae,Abronia,Abronia graminea,Central-America,"Diurnal crickets, grasshoppers, hornworms",Neonates,Solitary,Unknown,Man,Vibrant color,Green arboreal alligator lizard,6-8 months,Mesic cloud and pine-oak forest canopies,Carnivore,,,"Alligator lizard, green arboreal alligator",1,Mexico,,,GreenOrange,Scales,,10 years,21g(0.75oz),160mm-320mm(6in-12in),3 years,,01-Dec,"Dogs, cats, rodents",Reptile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexican Black Kingsnake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis getula nigrita,Not Evaluated,,,,,,,,,,Carnivore,,,Mexican black kingsnake,,,,,,,,20 to 30 years,,3 to 4 feet,,,Three to 24,,,,Very dark brown with irridescent scales,,,,,,,,,,No,Low,,,,,,,,,,,,,,,,,
Mexican Eagle (Northern crested caracara),Animalia,Chordata,Aves,Falconiformes,Falconidae,Caracara,Caracara cheriway,Central-America,"Rabbits, squirrels, skunks, frogs, lizards, snakes, turtles, fish, insects, birds, and alligators",,,Unknown,Unknown,The multi-colored beak,Mexican eagle,,"Prairies, deserts, and other semi-open terrains",Carnivore,,,Northern Crested Caracara,1,North America and South America,,,BrownBlueWhiteOrange,,,26 years,1.3kg (3lbs),,,,,Raccoons and crows,Bird,50-65cm (20-26in),,,,North-America,South-America,,1.2-1.3m (47-52in),30 days,,,,,,,,,"Shrubs, trees, and other structures",42-56 days,,,,,,,,,,,
Mexican Free-Tailed Bat,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Tadarida,Tadarida brasiliensis,Central-America,Moths,Pup,Social,120 to 150 million,Mining in caves,"Large, rounded ears","Guano bats, Brazilian free-tailed bats, mastiff bats",11-12 weeks,"Caves, tunnels, under bridges",Carnivore,,,Mexican free-tailed bat,9,"Southern United States, Mexico, northern parts of South America",,,GreyBlackDark Brown,Fur,47 mph,18 years,,,2 years,6 weeks,1,,Mammal,,,,,North-America,South-America,,,,,,,,,,,,,,,,,,,,,,,,
Mexican Mole Lizard,Animalia,Chordata,Reptilia,Squamata,Bipedidae,Bipes,Bipes biporus,Central-America,"Insects, larvae, lizards",Hatchling,,,Humans,Worm-like appearance,"Five-toed worm lizard, bipes",2 months,"Desert, dune, shrubland",Carnivore,,,Mexican mole lizard,1,Mexico,,,GreyPink,Scales,,1-2 years,3 oz,18cm-24cm,3.75 years,,01-Apr,"Humans, snakes",Reptile,,,,,North-America,,,,,,,,,,,,,,,,,,,,,,,,,
Midget Faded Rattlesnake,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,C. concolor,North-America,"small mammals, lizards, birds",Neonate,Mainly solitaryCommunal Dens,,Human encounters,Generally faded coloration in the adults.,"Horseshoe rattlesnake, yellow rattlesnake, faded rattlesnake",4 months,"rock outcrops, sagebrush, high desert.",Carnivore,,DiurnalCrepuscular,,,,,,BrownGreyYellowSilver,Scales,,,,,,,03-May,"owls, hawks, coyotes",,,Rattle,"Mellow, non-aggressive",,,,,,,,,Yes,Low,,,,,,,mice,,,1,,,,,,,
Miki,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,,,,,,,,BlueBlackWhiteChocolatePeach,Hair,,13 to 15 years,10 lbs,,,,,,,,,Sweet and intelligent,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis triangulum,Central-America,"Rodents, reptiles, snakes, and insects.",,,,,,,,,Carnivore,,,milk snake,,,,,YellowRedBlack,Scales,,up to 22 years in captivity,,24-52 inches,,,6-24 eggs,,reptile,,,,,North-America,,,,,,,,,,,,,,,,,,,,,,,,,
Milkfish,Animalia,Chordata,Actinopterygii,Gonorhynchiformes,Chanidae,Chanos,Chanos chanos,Asia,Algae and small invertebrates,,School,Milkfish production exceeds 1.1 million tons per year,Parasites or nematode infestations that cause tail rot and other health issues,Deeply forked tail,Bandeng or Bangos,1 to 2 days,Tropical freshwater lakes and rivers,Omnivore,,,Milkfish,1,,,,BlueWhiteGreenSilver,Scales,,Up to 15 years,Up to 35 pounds,Up to 6 feet or more,,,,Indo-Pacific Tarpons and Tenpounders,Ray-finned fish (Actinopterygii),,,,,Ocean,,,,,,,,,,Brackish,,,,,,,,,,,,,,,
Millipede,Animalia,Arthropoda,Diplopoda,,,,,Africa,,,,,,,,,Moist micro-habitats,Omnivore,500,,Millipede,10000,Worldwide,Some species have a poisonous bite!,,BrownYellowRedBlackOrange,Shell,,,,,,,,"Birds, Badgers, Rodents",,,,,,Asia,Central-America,Eurasia,,,,,,,"Decaying plant material, Plants, Insects",,,,,,Decaying plant material,,Europe,,,North-America,Oceania,South-America,,,
Mini Labradoodle,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miniature Bull Terrier,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,,,,,,,,FawnRedBlackWhiteTanBrindle,Hair,,11-14 years,35 lbs,,,,,,,,,"Happy-go-lucky, active, and energetic",,,,,,,,,,,,,,,,,,,,,,,,,,,
Miniature Husky,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,09-Nov,,,,,,,BrownGreyRedBlackWhite,Hair,,12-15 years,Up to 35 pounds,,,,,,,Up to 17 inches,,"Energetic, athletic, playful, friendly, intelligent",,,,,,,,,,,,,,,,,,,,,,,,,,,
Miniature Pinscher,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,"Its high stepping, hackney gait.",,,,Omnivore,3-6 puppies.,,,,,,,GreyFawnRedBlueBlackChocolate,Hair,15 mph,15 years.,,,,,,,,,,"High energy, brave and intelligent.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Mink,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela or Neovison,Mustela lutreola or Neovison vison,Europe,"Mice, rabbits, muskrats, fish, frogs, snakes, crayfish, and birds",Kits,Solitary,Unknown,Competition from other minks,Webbed feet,N/A,35-75 days,"Banks of fivers, lakes, streams and ponds",Carnivore,01-Aug,,Mink,2,Europe and North America,,,,Hair,4 mph,10 years,1-3.5 lbs,12-28 inches,10-12 months,6-10 weeks,01-Aug,"Coyotes, bobcats, wolves, foxes and owls",Mammal,,,,,North-America,,,,,,,,,,,,,,,,,,,,,,,,,
Minke Whale,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,Balaenoptera acutorostrata,Ocean,,,,"Common Minke Whale: 180,000; Antarctic Minke Whale: 515,000",Killer Whales,,"Lesser Rorqual, Lesser Finback, Sharp-Headed Finner, Little Finner, Pike Whale",10 months,"Temperate, tropic, or sub tropic waters",Carnivore,1,Herd,Minke Whale,2,,There are two recognised species!,,BrownGreyBlackWhite,Smooth,13 mph,30-50 years,"4,536-12,700kg (5-14tons)",,,,,"Human, Sharks, Killer Whales",Mammal,,,,,,,,,,,,,,"Krill, herring, sand eels, sprat, capelin, silverfish, and lanternfish",Salt,,,,,Krill,,,,,,,,,,
Mississippi Kite,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Ictinia,Ictinia mississippiensis,North-America,"Insects, rodents, snakes, birds, bats, frogs, and turtles",,,"3,00,000","Habitat loss, poisoning, and hunting",The red eyes,"Mosquito hawk, blue snake-hawk, and hovering kite",,"Hardwood forests, prairies, and urban environments",Carnivore,,,Mississippi Kite,1,"United States, Central and South America",,,GreyYellowBlackWhite,Feathers,,8 years,198-397g (7-14oz),,,,,"Raccoons, snakes, crows, owls, and other birds of prey",Bird,33-38cm (13-15in),,,,,,,3 feet,29-32 days,,,,,,,,,Trees,25-30 days,,,,1,,,,,,,
Moccasin Snake,Animalia,Chordata,Reptilia,Squamata,Viperidae,Agkistrodon,Agkistrodon piscivorus,North-America,"Fish, turtles, frogs, birds",,,,,,,,,Carnivore,Feb-15,,Moccasin,,,,,BrownYellowBlackTan,,,20 to 25 years,,30-42 inches,,,,,,,,,,,,,,,,,Yes,Low,,,,,,,,,,,,,,,,,
Mojarra,Animalia,Chordata,Actinopterygii,Perciformes,Gerreidae,,,Central-America,"Worms, bivalves, shrimp, and more, in addition to plant matter",,,Unknown,Overfishing,Shimmering silvery scales,"Silver perch, sand perch, silver biddy, and more",Unknown,,Omnivore,,School,Mojarra,,,,,,Scales,,,Up to 2 pounds,Up to 14 inches,,,,Sharks and other large fish,Ray-finned fish,,,,,Ocean,South-America,,,,,,,,,,,,,,,,,,Varies by species,,,,,,
Mojave Rattlesnake,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus scutulatus,Central-America,,,,,,,,,,Carnivore,,,Mojave rattlesnake or Mojave green,,,,,BrownGreen,,,12-20 years,,4.5 feet,,,2-17 live young,,,,,,,North-America,,,,,,,,,,,,,,,,,,,,,,,,,
Mola mola (Ocean Sunfish),Animalia,Chordata,Actinopterygii,Tetraodontiformes,Molidae,Mola,Mola mola,Ocean,"Crustaceans, jellyfish, squid, sponges, and fish",,Solitary,Unknown,Overfishing,The oval-shaped body,Common mola,Unknown,,Carnivore,,,Ocean sunfish,1,Worldwide,,,BrownGreySilver,Skin,,Unknown,"Up to 2,200kg (5,000lbs)",Up to 3.1m (10ft),,,,"Sharks, orcas, sea lions, and other fish",Ray-finned fish,,,,,,,,,,,,,,,Salt,,,,,,,,,,,,,,,
Mole,Animalia,Chordata,Mammalia,Soricomorpha,Talpidae,,Talpidae,Africa,,,,,,,,,"Woodland, grassland and farmland",Omnivore,4,Solitary,,,,Primarily hunts and feeds on Earthworms!,,BrownGreyBlackWhite,Fur,4 mph,3-6 years,250-550g (8.8-19.4oz),,,,,"Cats, Owls, Foxes",Mammal,,,,,Asia,Central-America,Eurasia,,,,,,,"Earthworms. Insects, Mice",,,,,,Earthworms,,Europe,,,North-America,Oceania,South-America,,,
Mole Cricket,Animalia,Arthropoda,Insecta,Orthoptera,Gryllotalpidae,,,Africa,"Roots, worms and grubs",,,,,,,,,Omnivore,,,Mole Cricket,,,,,BrownRedTan,Exoskeleton,,1 year,0.5 grams,1½ inches,,,,"mammals, lizards, birds, toads, beetles, and spiders.",,,,,,Asia,Central-America,Europe,,,,,,,,,,,,,,,North-America,,,Oceania,South-America,,,,
Mole Snake,Animalia,Chordata,Reptilia,Squamata,Pseudaspididae,Pseudaspis,Pseudaspis cana,Africa,"Rodents, bird eggs",,,,,,,,,Carnivore,25-95 eggs,,Mole snake,,,,,BrownRedBlack,,,8-10 years,,6.8 feet,,,,,,,,,,,,,,,,,No,Medium,,,,,,,,,,,,,,,,,
Molly,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia,Central-America,,,,,,,,,Rivers in the Amazon Rainforest,Omnivore,,,Molly,,,Known for their calm and peaceful nature!,,BrownYellowRedBlueBlackWhiteGreenOrange,Scales,,3 - 5 years,,5cm - 10cm (2in - 4in),,,,,,,Large-sized fins and bear live young,,,South-America,,,,,,80,,,"Algae, Insects, Bloodworm",Saltwater,,,,,Algae,,,,7.5 - 8.5,,,,,,
Monarch Butterfly,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,Africa,,Larvae/Caterpillar,Group,,Habitat loss,"Black, orange, and white pattern on wings","Milkweed, Black Veined Brown, Common tiger, Wanderer",3 to 8 days for eggs to hatch after they are laid,"Sunny places with streams, vegetation, and few predators (wintering habitat)",Herbivore,,Diurnal,Monarch Butterfly,3,"Southern Canada through Northern South America, Mexico, Hawaii, Cook Islands, Bermuda, New Zealand, Papua New Guinea, Australia, the Solomon Islands, New Caledonia, the Canary Islands, Madeira, Gibraltar, North Africa, and the Philippines",,Invertebrates,BlackWhiteOrange,Scales,12 mph,"2-6 weeks after becoming an adult, 8-9 months for the last generation of the year",0.25 - 0.75 grams,,4-5 days after emerging from pupa,,290 to 1180 eggs (in a lifetime),"Birds (including robins, cardinals, sparrows, pinyon jays, and orioles), mice, Chinese Mantis, Asian Lady Beetle",,,,,,Asia,Central-America,Europe,,,,,,,,,,,,,"Milkweed plants (larvae); thistles, Indian hemp, alfalfa, lilac, red clover, milkweeds, asters, and other plants with nectar (adults)",,North-America,,,Oceania,South-America,,,,
Mongoose,Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Herpestes,Helogale Parvula,Africa,,,,,,,,,Open forests and grass plains,Omnivore,4,Gang,,,,Range in size from just 1 to 3 foot!,,BrownGreyTan,Fur,20 mph,10-15 years,0.3-5kg (0.7-11lbs),,,,,,Mammal,,,,,Asia,,,,,,,,,"Rats, Eggs, Insects",,,,,,Rats,,,,,,,,,,
Mongrel,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Africa,,,,,,,,,,Omnivore,,,,,,Has characteristics of two or more breeds!,,,Hair,,,,,,,,,,,,,,Asia,Central-America,Eurasia,,,,,,,,,,,,,,,Europe,,,North-America,Oceania,South-America,,,
Monitor Lizard,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,,Africa,,,,,,,,,River banks and coastal forests,Carnivore,10,Solitary,,,,Some species are thought to carry a weak venom!,,BrownGreyTanGreen,Scales,28 mph,8-30 years,1-166kg (2.2-366lbs),,,,,,Reptile,,,,,Asia,Oceania,,,,,,,,"Rodents, Snakes, Lizards",,,,,,Rodents,,,,,,,,,,
Monkey,Animalia,Chordata,Mammalia,Primates,Cebidae,,Macaca Fascicularis,Africa,,,,,,,,,"Tropical forests, grasslands and mountainous plains",Omnivore,1,Troop,,,,There are around 260 known species!,,BrownGreyYellowBlackWhiteTan,Hair,35 mph,10-30 years,0.1-30kg (0.22-60lbs),,,,,"Birds, Snakes, Wildcats",Mammal,,,,,Asia,Central-America,Oceania,,,,,,,"Fruit, Seeds, Insects",,,,,,Fruit,,South-America,,,,,,,,
Monkfish,Animalia,Chordata,Actinopterygii,Lophiiformes,Lophiidae,Lophius,,,"Crustaceans, fish, seabirds, otters",,,,Overfishing,"Large mouth and unique ""lure"" to attract prey","goosefish, angler, fishing frogs, Lotte",,"Oceans. Generally found at 20 to 1,000 meter depths.",Carnivore,,,,7,,"Called ""The Poor Man's Lobster!""",,Brown,Hair,,Different species live from 10 to 30 years,The angler can weigh up to 127 pounds!,Up to 78 inches,,,,"Sharks, swordfish, large skate species",,,,,,,,,,,,,,,Fish,Salt,,1 million,,,,,,,,,,,,,
Monte Iberia Eleuth,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Eleutherodactylus,Eleutherodactylus iberia,Central-America,,,,,,,,,Water around Mount Iberia,Carnivore,,Solitary,,,,The smallest frog in the Northern Hemisphere!,,BrownYellowBlackWhite,Permeable,5 mph,1 - 3 years,1.5g - 2g (0.05oz - 0.07oz),9.6mm - 9.8mm (0.37in - 0.38in),,,,"Fish, Toads, Birds",Amphibian,,Tiny body size with bright yellow stripes,,,,,,,,,1,,,"Insects, Moths, Spiders",,,,,,Insects,,,,,,,,,,
Moon Jellyfish,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,Aurelia aurita,Ocean,"Plankton, small fish, crustaceans, larvae, eggs","Planula, polyp, ephyra",SmackBloom,Millions,"Humans, sea turtles, sharks, birds","Their moon-shaped, gelatinous, glowing body","Saucer jelly, moon jelly, common jelly",Varies,Temperate ocean,Carnivore,,SmackBloom,Moon Jelly,25,"Pacific, Indian, and Atlantic Oceans, near the beach",,,BluePink,,5 mph,adults: 12 to 16 months in aquarium tank captivity; polyps: 25 years,0.005 - 0.07 pounds,10 - 18 inches,Varies,,Can be in the 1000s,"Sea turtles, sharks, humans, fish, birds",Plankton,6 - 15 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
